"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p01 post mean";"p01 post SD";"p01 HPDI 95 L";"p01 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Lubelski";3,272;0,673;2,083;4,803;14,979;0,998;12,99;16,936;0,89;0,059;0,75;0,976;0,8;0,121;0,517;0,972;5,416;1,728;3,004;9,787
"Walbrzyski";1,727;0,543;0,827;2,908;15,001;0,992;13,065;16,923;0,889;0,059;0,753;0,975;0,799;0,123;0,514;0,973;3,198;0,988;1,776;5,511
"Miasto Warszawa";3,383;0,672;2,175;4,841;14,985;1,052;12,759;17,025;0,887;0,061;0,743;0,975;0,8;0,121;0,515;0,972;5,375;1,731;2,831;9,375
"Tarnowski";3,407;0,757;2,046;5,034;15,012;1,015;13,021;17,053;0,889;0,06;0,748;0,977;0,801;0,122;0,509;0,971;6,945;2,238;3,909;12,629
"Piotrkowski";3,06;0,59;2,038;4,341;15,008;1,016;13,031;16,997;0,89;0,06;0,746;0,976;0,799;0,123;0,514;0,973;4,163;1,321;2,299;7,327
"Warszawski wschodni";4,797;0,98;3,018;6,768;14,876;1,031;12,861;16,955;0,878;0,065;0,728;0,973;0,778;0,13;0,48;0,966;11,138;4,197;4,912;21,064
"Pilski";2,7;0,68;1,529;4,176;15,021;0,987;13,102;16,989;0,889;0,06;0,747;0,976;0,801;0,119;0,522;0,971;5,221;1,661;2,893;9,289
"Nowosadecki";3,999;0,765;2,69;5,643;14,999;1,025;13,007;17,024;0,888;0,06;0,752;0,975;0,8;0,12;0,514;0,975;7,917;2,558;4,38;14,276
"Elblaski";1,594;0,436;0,84;2,564;14,988;1,006;12,988;16,913;0,889;0,059;0,748;0,975;0,802;0,119;0,524;0,972;2,177;0,692;1,193;3,811
"Sosnowiecki";5,416;1,103;3,238;7,592;14,978;1,02;13,028;16,98;0,88;0,065;0,72;0,972;0,788;0,127;0,497;0,971;20,849;7,064;10,22;37,678
"Krosnienski";1,585;0,563;0,63;2,843;15,012;1;13,069;16,944;0,889;0,059;0,748;0,975;0,8;0,121;0,518;0,972;3,382;1,065;1,878;5,966
"Krakowski";5,151;1,064;3,318;7,382;14,977;0,952;13,062;16,82;0,867;0,068;0,709;0,967;0,71;0,137;0,406;0,935;9,926;4,639;4,097;22,296
"Czestochowski";3,633;1,006;1,809;5,653;14,765;1,042;12,705;16,882;0,887;0,06;0,744;0,974;0,775;0,127;0,487;0,963;8,917;3,395;4,015;17,118
"Grudziadzki";2,306;0,524;1,42;3,481;15,005;1,004;13,039;16,982;0,888;0,06;0,747;0,974;0,799;0,121;0,512;0,972;3,13;1,006;1,747;5,672
"Chelmsko-zamojski";2,462;0,786;1,099;4,198;15,001;0,988;13,064;16,921;0,889;0,059;0,749;0,975;0,801;0,121;0,517;0,973;6,55;2,088;3,603;11,54
"Bielski";2,155;0,482;1,287;3,213;15,003;1,012;12,991;16,966;0,89;0,059;0,755;0,974;0,8;0,119;0,522;0,975;2,796;0,866;1,562;4,918
"Rybnicki";6,774;1,157;4,278;8,943;14,919;1,016;12,914;16,847;0,869;0,073;0,694;0,972;0,766;0,134;0,457;0,967;32,439;11,562;14,461;58,707
"Miasto Poznan";2,103;0,692;0,918;3,583;15,001;1,007;13,06;16,941;0,888;0,061;0,743;0,976;0,799;0,12;0,523;0,971;4,781;1,542;2,669;8,545
"Warszawski zachodni";5,56;0,793;4,082;7,229;14,916;1,01;12,942;16,94;0,888;0,06;0,746;0,976;0,793;0,123;0,5;0,968;11,253;3,531;6,182;19,811
"Inowroclawski";1,909;0,575;0,943;3,235;15,018;1,007;13,048;16,993;0,889;0,059;0,75;0,974;0,799;0,12;0,519;0,97;3,582;1,186;1,956;6,545
"Swiecki";5,482;1,075;3,501;7,649;14,864;1,006;12,901;16,831;0,866;0,069;0,704;0,968;0,799;0,121;0,511;0,973;16,859;6,41;8,291;32,425
"Gorzowski";2,172;0,622;1,121;3,566;14,994;0,995;13,004;16,9;0,89;0,06;0,749;0,976;0,8;0,122;0,51;0,971;4,097;1,319;2,214;7,279
"Przemyski";1,91;0,69;0,74;3,449;15,029;0,989;13,099;16,92;0,888;0,059;0,752;0,974;0,801;0,121;0,516;0,973;4,768;1,538;2,639;8,509
"Zyrardowski";4,653;0,904;2,99;6,569;14,956;1,018;12,932;16,942;0,887;0,061;0,743;0,975;0,793;0,122;0,51;0,972;12,232;4,056;6,612;21,794
"Ciechanowski";4,697;0,972;2,93;6,772;14,988;0,989;13,013;16,831;0,886;0,061;0,735;0,975;0,796;0,122;0,512;0,969;14,284;4,599;7,817;25,52
"Plocki";8,326;1,051;6,29;10,385;14,89;1,039;12,767;16,909;0,833;0,092;0,608;0,965;0,747;0,134;0,442;0,957;70,416;24,503;36,421;131,014
