"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Lubelski";0,641;0,502;-0,361;1,653;9,961;1,012;7,978;11,924;0,924;0,051;0,796;0,99;0,798;0,122;0,512;0,974;6,146;1,962;3,436;11,026
"Wałbrzyski";-0,177;0,464;-1,048;0,772;9,929;1,001;7,925;11,877;0,925;0,05;0,801;0,99;0,799;0,121;0,515;0,973;4,832;1,563;2,709;8,683
"Miasto Warszawa";0,709;0,487;-0,219;1,688;9,908;1,038;7,895;11,921;0,921;0,052;0,795;0,99;0,789;0,126;0,494;0,968;5,608;1,831;2,997;10,06
"Tarnowski";0,349;0,524;-0,653;1,384;9,971;1,014;7,952;11,941;0,924;0,051;0,801;0,99;0,797;0,122;0,509;0,971;7,003;2,225;3,888;12,453
"Piotrkowski";0,767;0,468;-0,143;1,682;9,999;1;8,066;11,998;0,926;0,051;0,802;0,99;0,799;0,122;0,521;0,971;5,323;1,748;2,938;9,707
"Warszawski wschodni";0,831;0,59;-0,325;2,027;9,894;0,965;7,975;11,731;0,897;0,063;0,748;0,985;0,753;0,13;0,471;0,958;8,551;3,138;4,309;16,053
"Pilski";0,136;0,518;-0,846;1,174;10,018;1,01;8,054;12,019;0,925;0,05;0,799;0,99;0,795;0,124;0,511;0,971;6,623;2,144;3,684;11,731
"Nowosądecki";0,734;0,538;-0,32;1,796;9,932;1,042;7,9;11,971;0,922;0,052;0,792;0,989;0,795;0,123;0,511;0,972;7,326;2,382;4,108;13,192
"Elbląski";-0,014;0,388;-0,758;0,774;9,996;1,005;8,005;11,939;0,926;0,049;0,808;0,99;0,804;0,116;0,53;0,971;3,067;0,987;1,702;5,516
"Sosnowiecki";0,128;0,802;-1,403;1,709;9,962;1,008;7,963;11,875;0,892;0,07;0,722;0,987;0,747;0,137;0,447;0,956;20,326;7,619;9,356;38,703
"Krosnieński";-0,413;0,449;-1,268;0,493;9,983;1,015;8,048;11,931;0,926;0,049;0,807;0,99;0,799;0,12;0,524;0,968;4,125;1,309;2,292;7,256
"Krakowski";1,394;0,586;0,242;2,547;10,524;0,922;8,742;12,306;0,89;0,065;0,733;0,983;0,682;0,135;0,397;0,912;7,941;3,129;4,042;15,693
"Częstochowski";0,054;0,586;-1,045;1,243;9,81;0,977;7,904;11,745;0,924;0,051;0,798;0,99;0,747;0,13;0,459;0,952;7,709;2,789;3,951;14,681
"Grudziądzki";0,349;0,427;-0,474;1,196;9,992;1,001;8,061;11,995;0,927;0,049;0,806;0,991;0,802;0,119;0,524;0,973;4,106;1,307;2,267;7,376
"Chełmsko-zamojski";-0,523;0,498;-1,483;0,502;9,995;1,003;8;11,932;0,927;0,049;0,808;0,991;0,804;0,121;0,513;0,972;5,683;1,803;3,159;10,08
"Bielski";0,358;0,459;-0,505;1,282;10,011;1,015;8,07;12,008;0,925;0,049;0,804;0,99;0,798;0,122;0,511;0,97;4,831;1,572;2,693;8,743
"Rybnicki";0,041;0,893;-1,585;1,943;10,129;0,973;8,182;12,024;0,825;0,092;0,619;0,97;0,661;0,145;0,364;0,921;18,543;9,911;7,386;44,135
"Miasto Poznań";-0,378;0,493;-1,327;0,593;9,988;0,992;8,083;11,937;0,925;0,05;0,798;0,991;0,799;0,119;0,525;0,972;5,647;1,834;3,15;10,131
"Warszawski zachodni";1,59;0,657;0,255;2,875;9,81;1,02;7,868;11,783;0,919;0,055;0,782;0,99;0,77;0,132;0,465;0,962;11,851;3,811;6,541;21,21
"Inowrocławski";-0,161;0,467;-1,058;0,783;9,978;1,001;8,02;11,926;0,925;0,051;0,802;0,991;0,798;0,122;0,51;0,973;4,848;1,515;2,699;8,558
"Świecki";0,457;0,718;-0,916;1,903;9,963;0,978;8,027;11,876;0,874;0,07;0,711;0,974;0,794;0,12;0,51;0,971;14,552;5,025;7,701;27,27
"Gorzowski";-0,077;0,454;-0,947;0,82;10,004;0,997;8,004;11,965;0,926;0,05;0,804;0,99;0,8;0,12;0,522;0,973;4,79;1,482;2,648;8,344
"Przemyski";-0,564;0,456;-1,432;0,382;9,979;1,012;7,996;11,941;0,927;0,048;0,809;0,991;0,799;0,119;0,513;0,974;4,454;1,395;2,513;7,764
"Żyrardowski";0,586;0,692;-0,777;1,922;9,903;1,033;7,863;11,914;0,917;0,056;0,781;0,989;0,774;0,131;0,472;0,968;14,442;4,708;7,823;25,309
"Ciechanowski";0,256;0,678;-1,07;1,593;9,861;1,03;7,842;11,855;0,909;0,063;0,747;0,989;0,774;0,131;0,475;0,966;12,491;4,249;6,056;22,607
"Płocki";0,745;0,932;-1,059;2,57;10,013;1,028;8,035;12,041;0,832;0,097;0,6;0,972;0,734;0,127;0,458;0,941;67,968;25,009;33,425;129,769
