"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p01 post mean";"p01 post SD";"p01 HPDI 95 L";"p01 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Czestochowski";0,23;0,07;0,1;0,38;-0,87;0,08;-1,02;-0,71;0,95;0,03;0,89;0,99;0,97;0,02;0,91;1;0,23;0,03;0,17;0,3
"Grudziadzki";-0,06;0,09;-0,21;0,14;-1,1;0,17;-1,43;-0,77;0,96;0,02;0,9;0,99;0,94;0,04;0,84;0,99;0,26;0,04;0,19;0,34
"Chelmsko-zamojski";0,04;0,17;-0,15;0,43;0,26;0,16;-0,09;0,47;0,93;0,05;0,79;0,99;0,92;0,05;0,81;0,99;0,12;0,02;0,09;0,16
"Bielski";0,02;0,22;-0,2;0,33;0,1;0,18;-0,17;0,3;0,93;0,06;0,77;0,99;0,95;0,04;0,84;1;0,11;0,02;0,08;0,15
"Rybnicki";0,48;0,05;0,38;0,58;-0,24;0,06;-0,36;-0,12;0,96;0,02;0,9;0,99;0,95;0,03;0,88;0,99;0,14;0,02;0,1;0,18
"Miasto Poznan";-0,12;0,06;-0,24;0,01;0,61;0,04;0,53;0,69;0,93;0,04;0,84;0,99;0,97;0,02;0,93;1;0,12;0,02;0,09;0,16
"Warszawski zachodni";0,25;0,25;-0,11;0,54;0,06;0,2;-0,12;0,33;0,92;0,08;0,69;0,99;0,95;0,04;0,83;1;0,11;0,02;0,08;0,15
"Inowroclawski";0,11;0,07;-0,02;0,26;-0,89;0,07;-1,01;-0,75;0,93;0,03;0,85;0,98;0,96;0,02;0,9;0,99;0,18;0,02;0,13;0,23
"Swiecki";0,03;0,1;-0,16;0,22;-0,71;0,06;-0,83;-0,59;0,89;0,05;0,77;0,97;0,95;0,03;0,89;0,99;0,17;0,02;0,13;0,23
"Gorzowski";-0,09;0,04;-0,17;0;-1,33;0,14;-1,61;-1,05;0,97;0,02;0,93;0,99;0,91;0,06;0,76;0,99;0,16;0,02;0,13;0,21
"Przemyski";0,08;0,07;-0,05;0,21;-0,37;0,07;-0,53;-0,24;0,93;0,04;0,84;0,99;0,93;0,04;0,84;0,99;0,12;0,02;0,09;0,16
"Zyrardowski";0,07;0,4;-0,69;1,07;0,03;0,22;-0,22;0,25;0,85;0,11;0,58;0,98;0,93;0,07;0,74;1;0,13;0,02;0,09;0,17
"Ciechanowski";0,03;0,05;-0,06;0,12;-0,99;0,12;-1,22;-0,76;0,97;0,02;0,93;0,99;0,93;0,05;0,81;0,99;0,17;0,02;0,13;0,21
"Plocki";0,23;0,08;0,1;0,42;-0,26;0,07;-0,38;-0,12;0,93;0,05;0,81;0,99;0,96;0,03;0,9;1;0,14;0,02;0,11;0,19
